1	2745	101010111001	0xb9,0x0a,0x0	5271
2	2263	100011010111	0xd7,0x08,0x0	4327
3	3828	111011110100	0xf4,0x0e,0x0	7364
4	0890	001101111010	0x7a,0x03,0x0	1572
5	3041	101111100001	0xe1,0x0b,0x0	5741
6	3305	110011101001	0xe9,0x0c,0x0	6351
7	2790	101011100110	0xe6,0x0a,0x0	5346
8	1906	011101110010	0x72,0x07,0x0	3562
9	2391	100101010111	0x57,0x09,0x0	4527
10	3562	110111101010	0xea,0x0d,0x0	6752
11	1708	011010101100	0xac,0x06,0x0	3254
12	2155	100001101011	0x6b,0x08,0x0	4153
13	0867	001101100011	0x63,0x03,0x0	1543
14	2509	100111001101	0xcd,0x09,0x0	4715
15	1403	010101111011	0x7b,0x05,0x0	2573
16	0924	001110011100	0x9c,0x03,0x0	1634
17	1257	010011101001	0xe9,0x04,0x0	2351
18	1455	010110101111	0xaf,0x05,0x0	2657
19	3810	111011100010	0xe2,0x0e,0x0	7342
20	1841	011100110001	0x31,0x07,0x0	3461
21	0754	001011110010	0xf2,0x02,0x0	1362
22	2549	100111110101	0xf5,0x09,0x0	4765
23	0979	001111010011	0xd3,0x03,0x0	1723
24	3918	111101001110	0x4e,0x0f,0x0	7516
25	0725	001011010101	0xd5,0x02,0x0	1325
26	0988	001111011100	0xdc,0x03,0x0	1734
27	0871	001101100111	0x67,0x03,0x0	1547
28	2190	100010001110	0x8e,0x08,0x0	4216
29	0851	001101010011	0x53,0x03,0x0	1523
30	3857	111100010001	0x11,0x0f,0x0	7421
31	3674	111001011010	0x5a,0x0e,0x0	7132
32	2479	100110101111	0xaf,0x09,0x0	4657
33	3449	110101111001	0x79,0x0d,0x0	6571
34	1914	011101111010	0x7a,0x07,0x0	3572
35	3260	110010111100	0xbc,0x0c,0x0	6274
36	3861	111100010101	0x15,0x0f,0x0	7425
37	0677	001010100101	0xa5,0x02,0x0	1245
38	3979	111110001011	0x8b,0x0f,0x0	7613
39	0862	001101011110	0x5e,0x03,0x0	1536
40	1954	011110100010	0xa2,0x07,0x0	3642
41	2237	100010111101	0xbd,0x08,0x0	4275
42	0742	001011100110	0xe6,0x02,0x0	1346
43	3938	111101100010	0x62,0x0f,0x0	7542
44	1467	010110111011	0xbb,0x05,0x0	2673
45	3747	111010100011	0xa3,0x0e,0x0	7243
46	1889	011101100001	0x61,0x07,0x0	3541
47	1497	010111011001	0xd9,0x05,0x0	2731
48	0854	001101010110	0x56,0x03,0x0	1526
49	2206	100010011110	0x9e,0x08,0x0	4236
50	1953	011110100001	0xa1,0x07,0x0	3641
51	3281	110011010001	0xd1,0x0c,0x0	6321
52	2961	101110010001	0x91,0x0b,0x0	5621
53	1516	010111101100	0xec,0x05,0x0	2754
54	3818	111011101010	0xea,0x0e,0x0	7352
55	1135	010001101111	0x6f,0x04,0x0	2157
56	3431	110101100111	0x67,0x0d,0x0	6547
57	3003	101110111011	0xbb,0x0b,0x0	5673
58	3306	110011101010	0xea,0x0c,0x0	6352
59	2839	101100010111	0x17,0x0b,0x0	5427
60	3668	111001010100	0x54,0x0e,0x0	7124
61	0798	001100011110	0x1e,0x03,0x0	1436
62	2201	100010011001	0x99,0x08,0x0	4231
63	0787	001100010011	0x13,0x03,0x0	1423
64	1638	011001100110	0x66,0x06,0x0	3146
65	3955	111101110011	0x73,0x0f,0x0	7563
66	3915	111101001011	0x4b,0x0f,0x0	7513
67	3796	111011010100	0xd4,0x0e,0x0	7324
68	3303	110011100111	0xe7,0x0c,0x0	6347
69	2005	011111010101	0xd5,0x07,0x0	3725
70	2812	101011111100	0xfc,0x0a,0x0	5374
71	3167	110001011111	0x5f,0x0c,0x0	6137
72	0695	001010110111	0xb7,0x02,0x0	1267
73	2001	011111010001	0xd1,0x07,0x0	3721
74	2684	101001111100	0x7c,0x0a,0x0	5174
75	3869	111100011101	0x1d,0x0f,0x0	7435
76	1134	010001101110	0x6e,0x04,0x0	2156
77	1806	011100001110	0x0e,0x07,0x0	3416
78	0790	001100010110	0x16,0x03,0x0	1426
79	2135	100001010111	0x57,0x08,0x0	4127
80	1918	011101111110	0x7e,0x07,0x0	3576
81	0748	001011101100	0xec,0x02,0x0	1354
82	3170	110001100010	0x62,0x0c,0x0	6142
83	3797	111011010101	0xd5,0x0e,0x0	7325
84	1721	011010111001	0xb9,0x06,0x0	3271
85	3859	111100010011	0x13,0x0f,0x0	7423
86	1933	011110001101	0x8d,0x07,0x0	3615
87	4012	111110101100	0xac,0x0f,0x0	7654
88	2737	101010110001	0xb1,0x0a,0x0	5261
89	1329	010100110001	0x31,0x05,0x0	2461
90	1639	011001100111	0x67,0x06,0x0	3147
91	2871	101100110111	0x37,0x0b,0x0	5467
92	3763	111010110011	0xb3,0x0e,0x0	7263
93	2517	100111010101	0xd5,0x09,0x0	4725
94	3553	110111100001	0xe1,0x0d,0x0	6741
95	3563	110111101011	0xeb,0x0d,0x0	6753
96	3829	111011110101	0xf5,0x0e,0x0	7365
97	2286	100011101110	0xee,0x08,0x0	4356
98	1310	010100011110	0x1e,0x05,0x0	2436
99	1436	010110011100	0x9c,0x05,0x0	2634
100	1524	010111110100	0xf4,0x05,0x0	2764
101	1401	010101111001	0x79,0x05,0x0	2571
102	2507	100111001011	0xcb,0x09,0x0	4713
103	0683	001010101011	0xab,0x02,0x0	1253
104	3934	111101011110	0x5e,0x0f,0x0	7536
105	0701	001010111101	0xbd,0x02,0x0	1275
106	1935	011110001111	0x8f,0x07,0x0	3617
107	0810	001100101010	0x2a,0x03,0x0	1452
108	0684	001010101100	0xac,0x02,0x0	1254
109	1396	010101110100	0x74,0x05,0x0	2564
110	3371	110100101011	0x2b,0x0d,0x0	6453
111	1139	010001110011	0x73,0x04,0x0	2163
112	2700	101010001100	0x8c,0x0a,0x0	5214
113	1369	010101011001	0x59,0x05,0x0	2531
114	3932	111101011100	0x5c,0x0f,0x0	7534
115	1676	011010001100	0x8c,0x06,0x0	3214
116	3997	111110011101	0x9d,0x0f,0x0	7635
117	3030	101111010110	0xd6,0x0b,0x0	5726
118	3156	110001010100	0x54,0x0c,0x0	6124
119	2545	100111110001	0xf1,0x09,0x0	4761
120	1119	010001011111	0x5f,0x04,0x0	2137
121	2538	100111101010	0xea,0x09,0x0	4752
122	1404	010101111100	0x7c,0x05,0x0	2574
123	2767	101011001111	0xcf,0x0a,0x0	5317
124	1342	010100111110	0x3e,0x05,0x0	2476
125	4011	111110101011	0xab,0x0f,0x0	7653
126	1868	011101001100	0x4c,0x07,0x0	3514
127	1978	011110111010	0xba,0x07,0x0	3672
128	2748	101010111100	0xbc,0x0a,0x0	5274
129	1293	010100001101	0x0d,0x05,0x0	2415
130	3549	110111011101	0xdd,0x0d,0x0	6735
131	1149	010001111101	0x7d,0x04,0x0	2175
132	1724	011010111100	0xbc,0x06,0x0	3274
133	3669	111001010101	0x55,0x0e,0x0	7125
134	3001	101110111001	0xb9,0x0b,0x0	5671
135	3159	110001010111	0x57,0x0c,0x0	6127
136	2683	101001111011	0x7b,0x0a,0x0	5173
137	1294	010100001110	0x0e,0x05,0x0	2416
138	2827	101100001011	0x0b,0x0b,0x0	5413
139	3532	110111001100	0xcc,0x0d,0x0	6714
140	3043	101111100011	0xe3,0x0b,0x0	5743
141	1451	010110101011	0xab,0x05,0x0	2653
142	3231	110010011111	0x9f,0x0c,0x0	6237
143	3985	111110010001	0x91,0x0f,0x0	7621
144	1125	010001100101	0x65,0x04,0x0	2145
145	3683	111001100011	0x63,0x0e,0x0	7143
146	0887	001101110111	0x77,0x03,0x0	1567
147	0669	001010011101	0x9d,0x02,0x0	1235
148	2189	100010001101	0x8d,0x08,0x0	4215
149	1697	011010100001	0xa1,0x06,0x0	3241
150	1262	010011101110	0xee,0x04,0x0	2356
151	1644	011001101100	0x6c,0x06,0x0	3154
152	2235	100010111011	0xbb,0x08,0x0	4273
153	1337	010100111001	0x39,0x05,0x0	2471
154	1845	011100110101	0x35,0x07,0x0	3465
155	1916	011101111100	0x7c,0x07,0x0	3574
156	0982	001111010110	0xd6,0x03,0x0	1726
157	3826	111011110010	0xf2,0x0e,0x0	7362
158	3883	111100101011	0x2b,0x0f,0x0	7453
159	1326	010100101110	0x2e,0x05,0x0	2456
160	1839	011100101111	0x2f,0x07,0x0	3457
161	2719	101010011111	0x9f,0x0a,0x0	5237
162	3418	110101011010	0x5a,0x0d,0x0	6532
163	0818	001100110010	0x32,0x03,0x0	1462
164	0671	001010011111	0x9f,0x02,0x0	1237
165	0686	001010101110	0xae,0x02,0x0	1256
166	3749	111010100101	0xa5,0x0e,0x0	7245
167	3676	111001011100	0x5c,0x0e,0x0	7134
168	0766	001011111110	0xfe,0x02,0x0	1376
169	1873	011101010001	0x51,0x07,0x0	3521
170	1660	011001111100	0x7c,0x06,0x0	3174
171	1278	010011111110	0xfe,0x04,0x0	2376
172	3274	110011001010	0xca,0x0c,0x0	6312
173	2458	100110011010	0x9a,0x09,0x0	4632
174	3183	110001101111	0x6f,0x0c,0x0	6157
175	1449	010110101001	0xa9,0x05,0x0	2651
176	3692	111001101100	0x6c,0x0e,0x0	7154
177	1116	010001011100	0x5c,0x04,0x0	2134
178	3284	110011010100	0xd4,0x0c,0x0	6324
179	2809	101011111001	0xf9,0x0a,0x0	5371
180	2539	100111101011	0xeb,0x09,0x0	4753
181	2955	101110001011	0x8b,0x0b,0x0	5613
182	2762	101011001010	0xca,0x0a,0x0	5312
